,disease
1972,"Spastic Paraplegia 9b, Autosomal Recessive"
1973,"Spastic Paraplegia 9b, Autosomal Recessive"
1974,"Spastic Paraplegia 63, Autosomal Recessive"
1975,"Spastic Paraplegia 63, Autosomal Recessive"
1976,"Spastic Paraplegia 9a, Autosomal Dominant"
1977,"Spastic Paraplegia 9a, Autosomal Dominant"
1978,"Spastic Paraplegia 37, Autosomal Dominant"
1979,"Spastic Paraplegia 37, Autosomal Dominant"
1980,Short-Rib Thoracic Dysplasia 11 with or Without Polydactyly
1981,"Spastic Paraplegia 53, Autosomal Recessive"
1982,"Spastic Paraplegia 53, Autosomal Recessive"
1983,"Cutis Laxa, Autosomal Recessive, Type Iid"
1984,"Spastic Paraplegia 62, Autosomal Recessive"
1985,"Spastic Paraplegia 62, Autosomal Recessive"
1986,Mesomelia-Synostoses Syndrome
1987,"Spastic Paraplegia 75, Autosomal Recessive"
1988,"Spastic Paraplegia 75, Autosomal Recessive"
1989,"Spastic Paraplegia 38, Autosomal Dominant"
1990,"Spastic Paraplegia 38, Autosomal Dominant"
1991,"Spastic Paraplegia 64, Autosomal Recessive"
1992,"Spastic Paraplegia 64, Autosomal Recessive"
1993,Late Congenital Syphilis
1994,Late Congenital Syphilis
1995,Late Congenital Syphilis
1996,"Spastic Paraplegia 27, Autosomal Recessive"
1997,"Spastic Paraplegia 27, Autosomal Recessive"
1998,"Cutis Laxa, Autosomal Dominant 3"
1999,"Spastic Paraplegia 77, Autosomal Recessive"
2000,"Spastic Paraplegia 77, Autosomal Recessive"
2001,Short-Rib Thoracic Dysplasia 8 with or Without Polydactyly
2002,Parastremmatic Dwarfism
2003,Brachyolmia Type 3
2004,Severe Congenital Neutropenia Autosomal Dominant
2005,"Brachydactyly, Type A4"
2006,"Brachydactyly, Type A4"
2007,Omodysplasia 2
2008,Liebenberg Syndrome
2009,"Cutis Laxa, Autosomal Recessive, Type Iiib"
2010,"Cutis Laxa, Autosomal Recessive, Type Iiib"
2011,Ehlers-Danlos/osteogenesis Imperfecta Syndrome
2012,Osebold-Remondini Syndrome
2013,"Myopathy, Centronuclear, 4"
2014,"Neutropenia, Severe Congenital, 6, Autosomal Recessive"
2015,Atp6v0a2-Related Cutis Laxa
2016,"Neutropenia, Severe Congenital, 7, Autosomal Recessive"
2017,Autosomal Dominant Spastic Paraplegia Type 9b
2018,"Hydrocephalus, Sprengel Anomaly, and Costovertebral Dysplasia"
2019,Autosomal Recessive Spastic Paraplegia Type 66
2020,Hereditary Spastic Paraplegia 23
2021,Achilles Bursitis
2022,Autosomal Recessive Spastic Paraplegia Type 69
2023,Juvenile Polymyositis
2024,Autosomal Recessive Spastic Paraplegia Type 59
2025,Autosomal Recessive Spastic Paraplegia Type 67
2026,Autosomal Recessive Spastic Paraplegia Type 71
2027,"Basilar Impression, Primary"
2028,Autosomal Recessive Spastic Paraplegia Type 70
2029,Autosomal Recessive Spastic Paraplegia Type 60
2030,Mazabraud Syndrome
2031,Brachydactyly Type A5
2032,"Camptodactyly, Myopia, and Fibrosis of the Medial Rectus Muscle of Eye"
2033,Hereditary Spastic Paraplegia 72
2034,Hadziselimovic Syndrome
2035,"Mental Retardation, Microcephaly, Epilepsy, and Coarse Face"
2036,Velofacioskeletal Syndrome
2037,Global Developmental Delay-Osteopenia-Ectodermal Defect Syndrome
2038,Coloboma of Macula and Skeletal Anomalies
2039,Phalangeal Microgeodic Syndrome
2040,Osteogenesis Imperfecta-Retinopathy-Seizures-Intellectual Disability Syndrome
2041,Banki Syndrome
2042,Spastic Paraplegia-Paget Disease of Bone Syndrome
2043,Osteosclerosis-Developmental Delay-Craniosynostosis Syndrome
2044,Isolated Bone Marrow Mastocytosis
2045,Epimetaphyseal Skeletal Dysplasia
2046,Osteopenia-Myopia-Hearing Loss-Intellectual Disability-Facial Dysmorphism Syndrome
2047,Thin Ribs-Tubular Bones-Dysmorphism Syndrome
2048,Brachydactyly Type A7
2049,Faye-Petersen-Ward-Carey Syndrome
2050,Faye-Petersen-Ward-Carey Syndrome
2051,Faye-Petersen-Ward-Carey Syndrome
2052,Inverse Klippel-Tr¨¦naunay Syndrome
